	sepal_length
count	149.0
mean	5.848322147651008
std	0.8285940572656172
min	4.3
25%	5.1
50%	5.8
75%	6.4
max	7.9

	sepal_width
count	149.0
mean	3.051006711409397
std	0.4334988777167477
min	2.0
25%	2.8
50%	3.0
75%	3.3
max	4.4

	petal_length
count	149.0
mean	3.7744966442953043
std	1.7596511617753423
min	1.0
25%	1.6
50%	4.4
75%	5.1
max	6.9

	petal_width
count	149.0
mean	1.2053691275167793
std	0.7612920413899608
min	0.1
25%	0.3
50%	1.3
75%	1.8
max	2.5

